ranking,url,title,region,time,director,actor,1 week culmulative income,all culmulative income,duration,type,rating
11,https://www.maoyan.com/films/416,盗梦空间,美国,2010/9/1,['克里斯托弗·诺兰'],"['莱昂纳多·迪卡普里奥', '渡边谦', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚', '艾利奥特·佩吉', '汤姆·哈迪', '基里安·墨菲', '汤姆·贝伦杰', '迈克尔·凯恩', '皮特·波斯尔思韦特', '迪利普·劳', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅隆', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉', '尼古拉斯·克拉克', '克拉雷·戴珂拉', '西尔维·拉古纳', '魏吉拉·布拉姆雷', '简·西谢尔·达哥瑞', '海琳娜·库林纳', '马克·弗莱施曼', '郎谢丽', '克莱格·塞尔博', '安吉拉·那森', 'Natasha Beaumont', '马克·拉杜奇', '卡尔·吉丽亚德', '吉尔·马德雷尔', '亚历克斯·朗伯德', '尼古拉·普利曼', '彼特·巴适姆', '迈克尔·加斯顿', '菲利克斯·斯科特', '安德鲁·普利文', '丽萨·雷纳德', '杰森·坦戴尔', '杰克·吉尔罗伊', '珊农·威利斯', '艾黛姆·科尔', '莫宾·汗', '杰克·穆雷', '娜塔莉·纳什图科瓦', '约翰·希亚拉彻', '迈克尔·奥古斯特', '丹尼尔·吉伦杜', 'Scott Pretty', '本·施密特', '诺曼·萨利特', '阿隆佐·F·琼斯', 'Youlanda Davis', '晟焕乔', '艾梵·塔瑞', '肯尼斯·马克·巴汗', '安德鲁·霍格兰', '让·克里斯托弗·莱杰', '扎卡里·克里斯托弗·费伊', '科林·史密斯', '约翰·劳森', '玛格丽特·因索利亚', '工藤俊作', 'François-Marie Nivon', '斯里安·墨菲', '赖安·海沃']",,49620,148,"['动作', '悬疑', '惊悚', '科幻']",9
12,https://www.maoyan.com/films/1633,阿甘正传,美国,1994/7/6,['罗伯特·泽米吉斯'],"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德', '海利·乔·奥斯蒙', '迈克尔·康纳·亨弗里斯', '哈罗德·G·赫瑟姆', '山姆·安德森', '伊俄涅·M·特雷奇', '彼得·道博森', '希芳·法隆', '伊丽莎白·汉克斯', '汉娜·豪尔', '克里斯托弗·琼斯', '约翰·沃什姆', '罗布·兰德里', '杰森·麦克奎尔', '桑尼·施罗耶', '艾德·戴维斯', '罗根·利文斯顿·戈麦斯', '库尔特·拉塞尔', '本·瓦德尔', '瑞贝卡·威廉姆斯', '约翰·蓝道尔', '泰勒·朗', '玛戈·摩尔', '鲍勃·佩尼', 'Fay Genens', '克里斯汀·溪布鲁克', '乔治·凯利', '格雷迪·鲍曼', '弗兰克·盖尔', '皮特·奥斯特', '凯文·摩根', '亚历山大·泽米吉斯', '布雷特·赖斯', '丹尼尔C.斯瑞派克', 'Bruce Lucvia', '大卫·布鲁斯宾', '柯克·沃德', '安吉拉·洛玛斯', '蒂莫西·雷科德', '德博拉·麦克蒂尔', '马克·玛特宜森', '艾尔·哈林顿', '杰德·吉林', '鲍勃·哈克斯', '唐·费舍尔', '肯尼斯·贝文顿', '迈克尔·弗兰纳里', '盖瑞·罗宾逊', '玛琳娜·斯莫尔斯', '凯蒂·K·格林', '阿非莫·奥米拉', '马特·瓦勒斯', '但丁·麦卡锡', '保利·迪可可', '迈克·乔利', '迈克尔·克梅林', '约翰·沃德斯塔德', '杰弗瑞·威纳', '拉斯·威尔逊', '丹尼尔·J·格鲁力', '凯文·加兹登', 'Aaron Izbicki', '史蒂芬·格里菲斯', '比尔·罗伯逊', '迈克尔·麦克福尔', '埃里克·安德伍德', '拜伦·明斯', 'Steve DeRellian', '斯蒂芬·布吉格沃特', '斯科特·奥利维尔', '邦妮·安·伯吉斯', '约翰·威廉·高尔特', '希拉里·沙普兰', '伊莎贝尔·罗斯', '杰伊·罗斯', ""Richard D'Alessandro"", '迪克·史迪威', '凯文·戴维斯', '迈克尔-杰斯', '杰弗里·布莱克', '蒂姆·佩里', '瓦妮莎·罗斯', '艾米丽·凯里', '保罗·瓦什奇科夫斯基', '瓦伦蒂诺', '迪克·卡维特', '乔·斯特法尼利', '蒂芙妮·萨勒诺', '马拉·苏查雷特扎', 'Aloysius Gigl', '杰克·鲍登', '乔·阿拉斯奇', '拉撒路·杰克逊', 'W·本森·泰瑞', '马特·罗本科夫', '彼得·班', '南卡罗来纳州博福特哈利路亚合唱团', '乔·华盛顿', 'Nora Dunfee', '娜塔莉·亨德里克斯', ""Hallie D'Amore"", '吉姆·汉克斯', 'Chiffonye Cobb', '胡安·辛格尔顿', 'Bobby Richardson', '迈克尔·马蒂森', '莱尼·赫布', 'Charles Boswell', '蒂莫西·麦克尼尔', '朗尼·汉密尔顿', '特蕾莎·丹顿', '艾瑞克·斯塔贝瑙', 'Dane Farewell', '史蒂芬·摩尔', '基思·坎贝尔', '丹尼斯·罗伯斯', '克里斯蒂·科顿', 'John Connally', '阿瑟·布雷默', '扎克·哈内尔', '鲍勃·霍普', '林登·贝恩斯·约翰逊', '约翰·肯尼迪', '罗伯特·肯尼迪', '约翰·列侬', '理查德·尼克松', '罗纳德·里根', 'Brendan Shanahan', 'William Shipman', 'Christopher James Hall', '玛丽·艾伦·特雷纳', 'Troy Christian', 'USC Trojan Marching Band', 'Keri-Anne Bilotta', '乔治·华莱士', '迈克尔·伯吉斯', 'Bryan Hanna', 'Mark A. Rich', 'Joe Abby', '埃尔维斯·普雷斯利', '杰奎琳·洛弗尔', 'Aaron Michael Lacey', 'Devon Kelly', 'Jim Keller', 'Shann Johnson', '杰拉尔德·福特', 'James Ent', 'Jim Damron', '迪克·克拉克', 'Jim Boeke', '尼尔·阿姆斯特朗', 'Markus Alexander', 'Rob Adams', '约翰格伦哈丁', '吴俊全', 'Natalie Hendrix', 'Steve DeRelian']",,,142,"['剧情', '爱情']",9.4
13,https://www.maoyan.com/films/1212,千与千寻,日本,2019/6/21,['宫崎骏'],"['柊瑠美', '周冬雨', '入野自由', '井柏然', '夏木真理', '王琳', '中村彰男', '彭昱畅', '菅原文太', '田壮壮', '泽口靖子', '内藤刚志', '我修院达也', '神木隆之介', '玉井夕海', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦', '安田显', '斋藤志郎', '黛维·切斯', '杰森·马斯登', '苏珊娜·普莱薛特', '鲍伯·伯根', '迈克·奇科利斯', '罗伦·荷莉', '塔拉·斯特朗', '苏珊·伊甘', '保罗·伊丁', '约翰·拉岑贝格', '杰克·安杰尔', '戴维·奥格登·施蒂尔斯', '雪莉·琳', '莫娜·马歇尔', '詹妮弗·达林', '米凯·麦高万', '科琳·欧肖内希', '菲尔·普洛克特', '吉姆·瓦德', '坎迪·米洛', '罗杰·布帕斯', '户次重幸', '胡立成', '山像香', '脇田茂', '都筑香弥子', 'Noriko Kitou', 'Masayuki Kizu', 'Rina Yamada', 'Madalena Bobone', 'Rui Mendes', '山本道子', 'Akio Nakamura', '山本郁子', 'Filipa Maló Franco', 'João Melo', 'Fernanda Montemor']",19234,48828,125,"['动画', '冒险', '奇幻', '家庭']",9.3
14,https://www.maoyan.com/films/78341,星际穿越,美国,2014/11/12,['克里斯托弗·诺兰'],"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '韦斯·本特利', '艾伦·伯斯汀', '约翰·利思戈', '提莫西·查拉梅', '托弗·戈瑞斯', '大卫·奥伊罗', '伊莱耶斯·加贝尔', '大卫·吉亚西', '威廉姆·德瓦内', '利亚姆·迪肯森', '蕾亚·凯恩斯', '克里斯蒂安·范·德·海登', '比尔·欧文', '科莱特·沃夫', '乔什·斯图沃特', '威廉·帕特里克·布朗', '马龙·山德斯', '弗萝拉·诺兰', '本杰明·哈迪', '格里芬·弗雷泽', '杰夫·海普纳', '莉娜·格奥加斯', '马克·卡西米尔·戴妮奇斯', '弗兰西斯·X·麦卡锡', 'Alexander Michael Helisek', '安德鲁·波尔巴', '布鲁克·史密斯', '拉什·费加', '蒂莫西·柴勒梅德', '柯莱特·沃尔芙', '莱娜·乔加斯', '马可·卡西米尔·迪涅维茨', '亚历山大·迈克尔·海利塞', '格里芬·弗莱舍', 'Cici Leah Campbell', 'Troy Fyhn', 'Ryan Irving', 'Alexander Lu', 'Derek McEntire', '约瑟夫·奥利维拉', 'Bryan Stamp', 'Kevan Weber', 'Benjamin Pitz']",26885,87697,169,"['剧情', '科幻', '冒险']",9.3
15,https://www.maoyan.com/films/1304,楚门的世界,美国,1998/6/1,['彼得·威尔'],"['金·凯瑞', '劳拉·琳妮', '诺亚·艾默里奇', '安东尼·科隆', '艾德·哈里斯', '保罗·吉亚玛提', '菲利普·贝克·霍尔', '布赖恩·戴拉特', 'Mario Ernesto Sánchez', '马西娅·德波尼斯', 'Sam Kitchin', 'Adam Tomei', '肖恩·托马斯', '特里·金瑞利', 'Donna Hardy', '乔尔·麦金农·米勒', '苏珊·安吉洛', '冈本玉二', '马克·麦考利', 'Lorin Moore', 'Courtney Pakiz', 'Mickalean McCormick', '梅丽莎·菲茨杰拉德', 'Jake Eberle', 'Kiyoko Yamaguchi', 'Carly Smiga', 'Tom Simmons', '珍妮特·米勒', 'Millie Slavin', '佐恩·勒罗伊', 'Al Foster', 'Joe Minjares', 'Krista Lynn Landolfi', 'John Pramik', '约翰·普莱舍', '伍娜·戴蒙', 'Logan Kirksey', 'Joseph Lucus', 'Larry McDowell', 'Matthew McDonough', 'R.J. Murdock', 'Robert Davis', 'Darryl Davis', 'Marco Rubeo Marco Rubeo', 'Tony Todd', 'Jay Saiter', 'Mark Alan Gillott', 'Dave Corey', 'Sebastian Youngblood', 'Kade Coates', '约翰·罗斯留斯', 'Savannah Swafford', 'Jim Towers', 'David Andrew Nash', 'Earl Hilliard Jr', '贾德森·沃恩', 'Mal Jones', '穆里尔·穆尔', 'Nastassja Schmiedt', 'Angel Schmiedt', 'Fritz Dominique', 'Judy Clayton', 'Ted Raymond', 'Don Taylor', 'Ron Taylor', '海迪·萨卡斯', 'Blair Slater', '霍兰德·泰勒', '中村佐惠美', '菲利普·格拉斯', '哈里·谢尔', '彼得·克劳斯', '娜塔莎·麦克艾霍恩', 'Kevin D. Ross', '特瑞·卡米勒里', 'Dona Hardy']",,,103,['剧情'],8.9
16,https://www.maoyan.com/films/70976,触不可及,法国,2011/11/2,"['奥利维埃·纳卡什', '埃里克·托莱达诺']","['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '阿尔芭·贝露琪', 'Cyril Mendy', 'Christian Ameri', 'Grégoire Oestermann', '玛丽-洛尔·德库洛', 'Dominique Daguier', 'François Caron', '多萝特博里埃', '艾米丽·卡恩', 'Sylvain Lazard', 'Abdel Sellou', '皮埃尔-罗兰·巴纳隆', 'Dominique Henry', 'Alain Anthony', 'Elliot Latil', 'Kévin Wamo', 'Michel Winogradoff', 'Caroline Bourg', '海迪·布奇纳法', 'Fabrice Mantegna', '安托万·劳伦特', 'Jérôme Pauwels', 'Benjamin Baroche', 'Nicky Marbot', 'Renaud Barse', 'Ian Fenelon', 'Jean François Cayrey', '托马·索利韦尔', '约瑟芬娜·德·摩', 'François Bureloup', '克洛蒂尔德·莫莱特', 'Absa Diatou Toure', '萨丽马特·卡马特', '让·弗朗索瓦·凯雷']",,,112,"['剧情', '喜剧']",9.1
17,https://www.maoyan.com/films/3667,辛德勒的名单,美国,1993/11/30,['史蒂文·斯皮尔伯格'],"['连姆·尼森', '拉尔夫·费因斯', '本·金斯利', '艾伯丝·戴维兹', '卡罗琳·古多尔', '马克·伊瓦涅', '安德烈·瑟韦林', '戈兹·奥托', 'Michelle Csitos', 'Razia Israeli', 'Hubert Kramar', 'Georges Kern', '亚历山大·斯特罗贝勒', '托马斯·莫里斯', 'Lucyna Zabawa', 'Martin S. Bergmann', 'Maciej Orlos', 'Osman Ragheb', 'Tadeusz Huk', '马丁·塞梅洛格', '奥拉夫·卢巴申科', '约哼·尼克尔', '艾尔文·莱德', 'Eugeniusz Priwieziencew', '布兰科·拉斯蒂格', '路德格·皮斯特', '奥古斯特·施梅尔泽', '吉恩·莱赫纳', '埃琳娜·勒文松', '塔德乌什·布拉德茨基', '耶日·诺瓦克', 'Jacek Wójcicki', '诺伯特·魏塞尔', 'Katarzyna Tlalka', 'Ben Talar', 'Marta Bizon', 'Beata Deskur', '玛丽亚·佩斯泽克', 'Zuzanna Lipiec', 'Maciej Kowalewski', 'Katarzyna Smiechowicz', 'Emilie Schindler', 'Leopold Rosner', 'Leopold Pfefferberg', 'Kamil Krawiec', 'Ryszard Horowitz', '埃斯蒂·耶鲁沙米', 'Dorit Seadia', 'Wolfgang Seidenberg', 'Michael Schiller', 'Alexander Buczolich', 'Edward Linde-Lubaszenko', 'Hans Rosner', 'Danny Marcu', 'Alicja Kubaszewska', 'Dominika Bednarczyk', 'Agnieszka Korzeniowska', 'Ravit Ferera', 'Lidia Wyrobiec-Bank', 'Sebastian Konrad', 'Bartek Niebielski', 'Piotr Kadlcik', 'Ryszard Radwanski', 'Sebastian Skalski', '玛雅·奥丝塔泽斯卡', 'Hanna Kossowska', 'Jacek Lenczowski', 'Radoslaw Krzyzowski', 'Maciej Winkler', 'Dirk Bender', 'Dariusz Szymaniak', 'Jerzy Sagan', 'Ruth Farhi', 'Ethel Szyc', 'Sigurd Bemme', 'Peter Flechtner', 'Wilhelm Manske', 'Maciej Kozlowski', '维斯瓦夫·科马萨', '简·朱雷维奇', '阿格尼兹卡·旺格', 'Jeremy Flynn', 'Anemona Knut', '阿格涅兹卡·克鲁科沃娜', 'Magdalena Komornicka', 'Dieter Witting', 'Marcin Grzymowicz', 'Zbigniew Kozlowski', 'Marek Wrona', '约阿希姆·保罗·阿斯波克', '皮奥特·赛尔沃斯', 'Slawomir Holland', '托马斯·德德克', 'Jacek Pulanecki', 'Peter Appiano', '海蒙·玛丽亚·巴汀格', 'Stanislaw Brejdygant', '格里高兹·达米茨基', '马瑞安·格林卡', 'Daniel Del Ponte', 'Andrzej Welminski', 'Michael Z. Hoffmann', 'Hans-Michael Rehberg', '阿图斯·玛丽亚·马西森', 'Beata Rybotycka', 'Hans-Jörg Assmann', '斯坦尼斯瓦夫·科恰诺维奇', 'Vili Matula', 'Grzegorz Kwas', '贝蒂娜·库珀', 'Ewa Kolasinska', '亨里克·比斯塔', '奥莉维亚·达布罗斯卡', 'Shabtai Konorti', '帕维·德朗柯', 'Magdalena Dandourian', '亚当·谢米恩', 'Uri Avrahami', 'Leopold Kozlowski', '拉米·希尔伯格', 'Ezra Dagan', 'Piotr Polk', 'Beata Paluch', 'Aldona Grochal', 'Michael Gordon', 'Albert Misak', '安娜·穆查', 'Miri Fabian', '迈克尔·施奈德', 'Adi Nitzan', 'Harry Nehring', '克齐斯茨托夫·拉夫特', '弗里德里希·冯·图恩', '碧翠斯·马科拉', 'Shmuel Levy', 'Malgorzata Gebel', '乔纳森·萨加尔', '杰拉德·亚历山大·海德', '胡契克·卡勒塔', '马尔戈萨·格贝尔', '吴俊全', '佐久间玲', '彭河', 'Etl Szyc']",,,195,"['剧情', '历史', '战争']",9.2
18,https://www.maoyan.com/films/1319,情书,日本,1999/3/1,['岩井俊二'],"['中山美穗', '丰川悦司', '酒井美纪', '柏原崇', '范文雀', '光石研', '神户浩', '盐见三省', '梅田凡乃', '长田江身子', '山口诗史', '加贺麻理子', '铃木庆一', '田口智朗', '铃木兰兰', '筱原胜之', '永田恵美子', '小栗香织', '後藤直樹', '酒井敏也', '中村久美', '山崎一', '德井优', '武藤寿美']",,6521,116,"['剧情', '爱情']",8.9
19,https://www.maoyan.com/films/342068,寻梦环游记,美国,2017/11/24,"['李·昂克里奇', '阿德里安·莫利纳']","['安东尼·冈萨雷斯', '本杰明·布拉特', '盖尔·加西亚·贝纳尔', '芮妮·维克托', '爱德华·詹姆斯·奥莫斯', '阿兰娜·乌巴赫', '杰米•卡米尔', '赫伯特·西古恩萨', '阿方索·阿雷奥', '加布里埃尔·伊格莱西亚斯', '隆巴多·博伊尔', '安娜·奥菲丽亚·莫吉亚', '赛琳娜·露娜', '索菲亚·伊斯皮诺萨', '卡拉·梅迪纳', '黛娅娜·欧特里', '路易斯·瓦尔德斯', '布兰卡·阿拉切利', '萨尔瓦多·雷耶斯', '切奇·马林', '奥克塔维·索利斯', '约翰·拉岑贝格', '娜塔丽·科尔多瓦', '以利亚·罗德里格斯', '石桥阳彩', '阿兰纳·乌巴奇']",11869,123008,105,"['动画', '冒险', '家庭']",9.6
20,https://www.maoyan.com/films/588362,摔跤吧！爸爸,印度,2017/5/5,['涅提·蒂瓦里'],"['阿米尔·汗', '沙克希·坦沃', '法缇玛·萨那·纱卡', '阿帕尔夏克提·库拉那', '塞伊拉·沃西', '毛毛头', '维万·巴特那', '里特维克·萨霍里', '吉里什·库卡尼', 'Anmol Charan', 'Jagbir', 'Olamilekan Akanbi Jason', 'Hafiz Khan', '阿努拉格·阿罗拉', '马谢什·巴拉吉', 'Badrul Islam', 'Meenu Prajapati', 'Gurpreet Toti', 'Sumit Khanna', '什沙尔·夏尔马', '苏哈妮·巴特纳格尔', '桑亚·玛荷塔', 'Ishika Gagneja', '安什·拉索尔']",8685,129932,140,"['喜剧', '动作', '家庭']",9.8
21,https://www.maoyan.com/films/1218727,何以为家,黎巴嫩,2019/4/29,['娜丁·拉巴基'],"['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '娜丁·拉巴基', '卡萨尔·艾尔·哈达德', '埃利亚斯·库利', 'Suhas Palshikar', 'Leena Bhagwat', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '努尔·艾尔·侯赛尼', 'Fadi Kassem']",17036,37684,116,['剧情'],9.3
22,https://www.maoyan.com/films/995,少年派的奇幻漂流,美国,2012/11/22,['李安'],"['苏拉·沙玛', '伊尔凡·可汗', '塔布', '拉菲·斯波', '阿尤什·坦东', '加塔姆·贝鲁尔', '阿迪勒·侯赛因', '阿伊·可汗', '穆德·阿巴斯·卡勒里', '维比什·希瓦库玛', '热拉尔·德帕迪约', '詹姆斯·塞托', '俊·奈托', '安德里亚·迪·斯戴法诺', '沙拉万提·塞纳特', '埃利·阿鲁夫', '帕德米尼·拉姆康托', 'T·M·卡西克·司瑞尼瓦莎', '阿玛伦·瑞米南', '哈里·米那·巴拉', '王柏杰', '柯一正', '黄健玮', '拉维·纳塔森', '艾德亚特·巴拉吉', '基拉格·奥格沃', '阿罕·安德烈·卡玛斯', '欧姆·卡玛斯', '斯瑞莱克·卡塔', '沙瓦提·范·拉斯维克', 'M.吉尔萨那', '英多莫汗·普尔尼玛', '约瑟夫·尼西亚·B', '沙姆克莎·S', 'A·戴娃·桑德里', 'G·瓦萨塔库马里', 'A·韦斯亚', '马西里·普拉卡什', '拉杰·帕特尔', '哈迪西亚·哈米德', '伊斯沃尔·撒里库玛', '阿彦·汗', '路知行', 'T.M. Karthik']",10263,57288,127,"['剧情', '奇幻', '冒险']",9
23,https://www.maoyan.com/films/1215201,小丑,美国,2019/10/4,['托德·菲利普斯'],"['华金·菲尼克斯', '罗伯特·德尼罗', '亚历克·鲍德温', 'Jolie Chan', 'Alex Xenos', 'Jaine Ye', 'Chuck Taber', 'Ben Heyman', 'Adrienne Lovette', 'Lana Harwood', 'Loretta Anne Miller', 'Dj Nino Carta', 'Celeste Pisapía', 'Michael Lepre', 'Jesse Schratz', '约翰·卡什', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱舍尔', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·皮萨派', '布莱斯·科里根', '乔恩·道格拉斯', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞', '加里·古尔曼', '贾斯汀·塞洛克斯', '大卫·伊亚科诺', '本·沃黑特', '汉娜·格罗斯', '艾普尔·格蕾丝', '弗兰克·伍德', 'Mark Falvo', 'Ray Iannicelli', '托马斯·斯图尔特', 'Mark Lotito', 'Ryan Funigiello', 'Tamiz U. Rezvi', 'Kim Brockington', 'David Valentino Penaga', '约翰·塞纳迭姆博', 'Dennis J. Funny,D-Fun,Funny,D.j.Funny', '克里斯·里德', '皮特·本森', 'Craig Austin', '史蒂芬·斯坦顿', 'Leigh Gill', 'Jeff McCarthy', 'Keith Buterbaugh', 'Murphy Guyer', '山姆·莫瑞尔', 'Greer Barnes', 'Jane Fergus', 'Danny Schoch', '詹姆斯·西科内', 'Graham Maby']",,,122,"['剧情', '惊悚', '犯罪']",8.6
24,https://www.maoyan.com/films/38286,忠犬八公的故事,美国,2009/6/13,['拉斯·霍尔斯道姆'],"['Forest', '理查·基尔', '琼·艾伦', '田川洋行', '萨拉·罗默尔', '杰森·亚历山大', '艾瑞克·阿瓦利', '达文尼亚·麦克法登', '罗比·萨布莱特', '凯文·德科斯泰', 'Rob Degnan', '托拉·霍斯特洛姆', '唐娜·索贝洛', 'Frank S. Aronson', '特洛伊·多尔蒂', '伊恩·谢尔曼', '蒂莫西·克罗', 'Denece Ryland', '贝茨·怀尔德', '布莱克·弗里德曼', '丹尼尔·柯比', '罗伊·苏萨', 'Rich Tretheway', 'Thomas Tynell', 'Raymond Alongi', 'Ellen Becker-Gray', 'Desiree April Connolly', 'Patrick Mel Hayes', 'Edward L. Papazian', '亚美利哥·普雷休蒂', 'Rich Skinner', '罗伯特·卡普荣', 'Gloria Crist', '加里·罗斯科', 'Donald Warnock', 'Adam Masnyk', '奥斯卡J·卡斯蒂罗', '文森特J.恩肖', '马丁·蒙塔纳', '摩根·奥布莱恩', 'Ben Skinner', 'Michael Kelly', 'Joanne Fanara', 'Luke Allard', '肖恩·法雷尔', '盖尔·布格贾', '伊丽莎白·弗里曼', 'Albert Gornie', '高岛彩', 'Timothy Crowe', '理查德·基尔']",,,93,['剧情'],9.3
25,https://www.maoyan.com/films/267,泰坦尼克号,美国,1998/4/3,['詹姆斯·卡梅隆'],"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '格劳瑞亚·斯图尔特', '凯西·贝茨', '弗兰西丝·费舍', '比尔·帕克斯顿', '伯纳德·希尔', '姜广涛', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '阿那托利·萨加洛维奇', '苏茜·爱米斯', '伊万·斯图尔特', '詹姆斯·卡梅隆', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '丹尼·努齐', '杰森·贝瑞', '艾恩·格拉法德', '乔纳森•菲利普斯', '马克·林赛·查普曼', '理查德·格拉翰', '保罗·布赖特威尔', '艾瑞克·布里登', '夏洛特·查顿', '博纳德·福克斯', '迈克尔·英塞恩', '法妮·布雷特', '马丁·贾维斯', '罗莎琳·艾尔斯', '罗切尔·罗斯', '乔纳森·伊万斯-琼斯', '西蒙·克雷恩', '爱德华·弗莱彻', 'Scott Anderson', '马丁·伊斯特', '克雷格·凯利', '詹姆斯·兰开斯特', '艾尔莎·瑞雯', '卢·帕尔特', '泰瑞·佛瑞斯塔', '凯文·德·拉·诺伊', '竹内结子', '詹姆斯·霍纳', '佐佐木澄江', '曲敬国', '斯科特·安德森', '格雷戈里·库克', '利亚姆·图伊', '罗恩·多纳基', '史蒂文·奎里', '詹妮特·戈德斯坦恩', '林凡', '马丁·莱恩', 'Linda Kerns', '马丁·哈伯', '德里克·李', '保罗·赫伯特', '亚历山大·欧文斯', 'Julene Renee', '凯西·贝茨', '维克托·加柏', '马克·林德塞·查普曼', 'Paul Brightwell', 'Camilla Overbye Roos', 'Amy Gaipa', 'Rocky Taylor', '西蒙·克莱恩', 'Edward Fletcher', 'Scott G. Anderson', 'Mark Rafael Truitt', 'Garth Wilton', 'Kevin Owers', 'Marc Cass', 'Emmett James', 'Oliver Page', 'Erik Holland', '塞斯·艾德金斯', 'Vern Urich', ""Tricia O'Neil"", 'Dan Pettersson', '格雷格·埃利斯', 'Kris Andersson', 'Aaron James Cash', 'Edmond Alan Forsyth', '斯科特·希斯洛普', '约翰·沃尔卡特', 'Sean Nepita', 'Nick Meaney', '马克·卡普里', '克里斯·伯恩', '詹姆斯·加勒特', 'Jari Kinnunen', '巴里·丹尼', 'Rebecca Klingler', 'Bjørn Olsen', '谢伊·达芬', 'Diana Morgan', '安妮·弗莱彻', 'Andie Hicks', 'Stan Mazin', 'Thomas Füri']",44388,130615,194,"['剧情', '爱情', '灾难']",9.4
26,https://www.maoyan.com/films/344881,你的名字。,日本,2016/12/2,['新海诚'],"['上白石萌音', '佟心竹', '神木隆之介', '皇贞季', '长泽雅美', '市原悦子', '成田凌', '孟令军', '悠木碧', '石川界人', '岛崎信长', '寺杣昌纪', '大原沙耶香', '井上和彦', '茶风林', '花泽香菜', '纪艳芳', '隋桂凤', '牟珈论', '高晗', '王晓巍', '郭金非', '赵鑫', '杨波', '孟丽', '虞桐伟', '武扬', '寺崎裕香', '加藤有花', '田端佑佳奈', '小野冢贵志', 'Baron Yamazaki', '宇佐美凉子', '滨添伸也', '新祐树', '井上优', '中务贵幸', 'Manami Hanawa', 'Eriko Tomioka', 'Glynis Bell', '雷·蔡斯', 'Marc Diraison', '伊尔琳·菲茨杰拉德', 'Sri Gordon', '谢拉米·李', 'H.D. Quinn', '本·普罗斯基', '艾莉森·雷·罗森菲尔德', '贝拉·哈德森', '米夏埃尔·桑泰尔尼克拉斯', 'Maki Terashima-Furuta', 'Scott Williams', '佐藤奏美', '山根希美', 'Tomohiro Yamaguchi', 'Hiroki Matsukawa', 'Kevin T. Collins', '本·迪斯金', 'Paige Fitzgerald', '韦恩·格雷森', '凯尔·赫伯特', 'Cassandra Morris', '劳拉·波斯特', '米歇尔·拉夫', '斯蒂芬妮·社', 'Kaiji Tang']",28657,57571,106,"['爱情', '动画', '奇幻']",9.2
